arch,encoder,class_weights,n_runs,dice_macro_mean,dice_macro_sd,dice_axon_mean,dice_axon_sd,dice_myelin_mean,dice_myelin_sd,dice_bg_mean,dice_bg_sd,iou_macro_mean,iou_macro_sd,iou_axon_mean,iou_axon_sd,iou_myelin_mean,iou_myelin_sd,iou_bg_mean,iou_bg_sd,precision_macro_mean,precision_macro_sd,precision_axon_mean,precision_axon_sd,precision_myelin_mean,precision_myelin_sd,precision_bg_mean,precision_bg_sd,recall_macro_mean,recall_macro_sd,recall_axon_mean,recall_axon_sd,recall_myelin_mean,recall_myelin_sd,recall_bg_mean,recall_bg_sd,hd95_macro_mean,hd95_macro_sd,hd95_myelin_axon_mean,hd95_myelin_axon_sd,hd95_axon_mean,hd95_axon_sd,hd95_myelin_mean,hd95_myelin_sd,hd95_bg_mean,hd95_bg_sd,composite_score,cw_composite_sd,cw_composite_range
unet++,densenet169,"[2.0, 2.0, 1.0]",15,0.9018,0.0157,0.8263,0.064,0.7416,0.0708,0.9403,0.012,0.8247,0.025,0.7479,0.0639,0.6305,0.066,0.8898,0.0208,0.9089,0.0113,0.8619,0.0403,0.779,0.0458,0.9317,0.0228,0.8962,0.0203,0.8343,0.073,0.7625,0.0698,0.9519,0.0159,13.2954,6.6689,15.839,8.5256,16.7698,8.836,14.9082,8.2684,8.2082,3.0148,0.7504,0.0039,0.012
unet++,resnet50,"[1.0, 1.0, 3.0]",15,0.9003,0.0146,0.8303,0.0565,0.7382,0.0641,0.939,0.0121,0.8224,0.0232,0.7504,0.0564,0.6253,0.0598,0.8876,0.021,0.9059,0.0125,0.8466,0.0444,0.784,0.0441,0.9303,0.0241,0.8962,0.0178,0.8514,0.0568,0.75,0.069,0.9509,0.0165,13.3598,5.1815,15.886,6.6496,16.5849,6.3581,15.1871,6.9856,8.3075,2.3426,0.7503,0.0043,0.0142
manet,densenet121,"[1.0, 2.0, 2.0]",15,0.9007,0.0152,0.8243,0.0569,0.7335,0.0696,0.9378,0.0119,0.8229,0.0243,0.7448,0.0576,0.6226,0.0665,0.8856,0.0205,0.9043,0.0145,0.8458,0.0389,0.7673,0.0528,0.9381,0.0225,0.8985,0.0186,0.8452,0.0554,0.763,0.0754,0.9409,0.0209,14.2069,5.6582,16.8205,7.0744,17.8567,7.0719,15.7844,7.1087,8.9796,2.8805,0.7405,0.0083,0.0271
unet,densenet169,"[1.0, 1.0, 1.0]",15,0.8996,0.0164,0.8239,0.0579,0.7318,0.0734,0.9389,0.0124,0.8212,0.026,0.7433,0.0581,0.621,0.068,0.8874,0.0214,0.9057,0.0124,0.8461,0.0394,0.7814,0.0407,0.9308,0.0241,0.8949,0.0211,0.8413,0.0657,0.7477,0.0818,0.9501,0.0164,14.4554,7.5109,17.0919,9.507,17.7472,9.0002,16.4366,10.0503,9.1824,3.6186,0.738,0.0076,0.0278
unet,densenet121,"[1.0, 2.0, 2.0]",15,0.8999,0.0156,0.8239,0.0596,0.7384,0.0689,0.9381,0.0127,0.8216,0.0249,0.7445,0.0594,0.628,0.0661,0.886,0.0218,0.9047,0.013,0.8584,0.0355,0.7788,0.0455,0.9343,0.0227,0.8963,0.0193,0.8366,0.0647,0.759,0.0714,0.945,0.0183,14.6887,6.7403,17.4936,8.6354,18.6584,8.6257,16.3288,8.6835,9.0788,3.093,0.7375,0.005,0.0157
unet++,resnet34,"[1.0, 2.0, 2.0]",15,0.8971,0.0153,0.8181,0.0622,0.7246,0.0711,0.9367,0.0119,0.8172,0.0242,0.7365,0.0612,0.6117,0.0647,0.8835,0.0206,0.9024,0.0123,0.8345,0.0504,0.7586,0.0488,0.9299,0.0235,0.8932,0.0197,0.8434,0.0614,0.7515,0.0789,0.9469,0.0177,14.2816,4.7683,16.6745,6.1721,17.4291,6.1114,15.9199,6.2822,9.4959,2.0641,0.7364,0.0049,0.016
manet,resnet50,"[1.0, 2.0, 2.0]",15,0.8971,0.0158,0.8167,0.0608,0.7297,0.071,0.936,0.0124,0.8171,0.0249,0.7345,0.0596,0.617,0.0661,0.8825,0.0215,0.9004,0.0146,0.8337,0.0453,0.7575,0.0451,0.9342,0.0218,0.8948,0.0186,0.8395,0.0596,0.7616,0.0731,0.9411,0.0195,14.4737,5.6752,17.0511,7.072,17.9372,6.8063,16.165,7.3792,9.319,2.9829,0.7351,0.0061,0.0214
unet++,densenet121,"[1.0, 2.0, 1.0]",15,0.9005,0.0163,0.8184,0.0705,0.734,0.0774,0.9391,0.0123,0.8225,0.0259,0.7396,0.0697,0.6237,0.0713,0.8878,0.0213,0.9076,0.0114,0.8614,0.0399,0.7711,0.0427,0.9325,0.0255,0.8953,0.0227,0.8266,0.076,0.7622,0.0875,0.9489,0.0188,14.6425,7.161,17.4244,9.0104,18.1584,9.0977,16.6905,9.017,9.0787,3.497,0.7346,0.0037,0.0136
unet,resnet50,"[1.0, 2.0, 2.0]",15,0.8972,0.0127,0.8174,0.0609,0.7298,0.0684,0.9366,0.0102,0.8171,0.02,0.7354,0.06,0.6174,0.0631,0.8834,0.0175,0.9006,0.0124,0.8378,0.0487,0.7594,0.0513,0.9339,0.0215,0.895,0.016,0.8419,0.0575,0.7605,0.0717,0.9423,0.0191,14.4455,5.9297,17.1803,7.6764,18.1148,7.4014,16.2457,7.9684,8.9759,2.5447,0.7345,0.0069,0.0249
manet,densenet169,"[2.0, 2.0, 1.0]",15,0.9004,0.0164,0.8183,0.0707,0.7313,0.0806,0.9385,0.0123,0.8224,0.0262,0.7398,0.0708,0.6224,0.0743,0.8869,0.0212,0.91,0.0128,0.8647,0.0397,0.7791,0.0502,0.9275,0.0262,0.8929,0.0217,0.8201,0.072,0.7548,0.084,0.9534,0.0177,14.6993,7.0401,17.443,8.6224,18.3031,8.2894,16.5829,9.0172,9.212,3.9369,0.7336,0.0062,0.02
manet,resnet34,"[1.0, 2.0, 1.0]",15,0.8951,0.0151,0.8088,0.0623,0.727,0.0701,0.9352,0.0117,0.8137,0.0237,0.7243,0.0606,0.6132,0.0643,0.881,0.02,0.8987,0.0132,0.8336,0.052,0.7387,0.0563,0.9332,0.0203,0.8926,0.0177,0.8281,0.0615,0.769,0.0673,0.9401,0.0178,14.6091,4.8392,16.9369,5.989,17.8676,5.9199,16.0062,6.1744,9.9537,2.7302,0.7324,0.0061,0.0248
unet,resnet34,"[3.0, 1.0, 1.0]",14,0.8949,0.0143,0.8064,0.065,0.7188,0.0692,0.937,0.0116,0.8136,0.0227,0.7259,0.0631,0.6073,0.0603,0.8844,0.0197,0.9052,0.0102,0.8455,0.0399,0.7797,0.0483,0.9216,0.019,0.8863,0.0186,0.823,0.0769,0.7282,0.0599,0.9562,0.0106,15.6053,6.5899,18.4141,8.3977,19.4525,7.8184,17.3757,9.1046,9.9876,3.0742,0.719,0.0122,0.0491
